location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Africa,OWID_AFR,2021-01-15,4000,4000,,,667,0,0,,0
Albania,ALB,2021-01-13,188,188,,60,63,0.01,0.01,,22
Andorra,AND,2021-01-25,576,576,,,,0.75,0.75,,
Austria,AUT,2021-01-20,170598,166635,3963,23212,15122,1.89,1.85,0.04,1679
NewYork,NYC,2021-04-12,5000,5000,,,1367,0.02,0.02,,35
Angola,AGO,2021-03-08,6169,6169,,,2056,0.02,0.02,,63
Argentina,ARG,2021-03-07,1526078,1182874,343204,,71582,3.38,2.62,0.76,1584
Asia,OWID_ASI,2021-01-08,7517473,1935547,8,126183,269803,0.16,0.04,0,58
Australia,AUS,2021-03-08,86369,86369,,5024,7524,0.34,0.34,,295
Australia,AUS,2021-05-12,56366,56366,,3524,1524,0.14,0.14,,190
Azerbaijan,AZE,2021-02-06,65000,65000,,,3250,0.64,0.64,,321
Bahrain,BHR,2021-01-07,72239,72239,,3767,1942,4.25,4.25,,1141
Bangladesh,BGD,2021-01-27,26,26,,26,26,0,0,,0
Barbados,BRB,2021-03-03,44859,44859,,1624,2754,15.61,15.61,,9583
Belarus,BLR,2021-02-18,20944,20944,,,403,0.22,0.22,,43
Belgium,BEL,2021-01-06,6321,6321,,3877,792,0.05,0.05,,68
Belize,BLZ,2021-03-16,10972,10972,,1387,1358,2.76,2.76,,3415
Bermuda,BMU,2021-01-16,1665,1665,,,278,2.67,2.67,,4464
Bolivia,BOL,2021-02-03,3560,,,1967,593,0.03,,,51
Brazil,BRA,2021-02-08,3605538,3579850,25688,51857,211604,1.7,1.68,0.01,996
Bulgaria,BGR,2020-12-30,4608,4608,,2889,2889,0.07,0.07,,416
Cambodia,KHM,2021-02-10,1492,1492,,1492,1492,0.01,0.01,,89
Canada,CAN,2021-01-31,957229,845339,111890,5017,20111,2.54,2.24,0.3,533
Chile,CHL,2020-12-28,8649,8649,,0,2057,0.05,0.05,,108
China,CHN,2021-01-31,24000000,,,,651673,1.67,,,453
Colombia,COL,2021-02-19,21307,21307,,13453,7102,0.04,0.04,,140
Croatia,HRV,2021-01-03,12285,12285,,,1105,0.3,0.3,,269
Cyprus,CYP,2021-01-30,25519,19618,5551,,1111,2.91,2.24,0.63,1268
Czechia,CZE,2020-12-31,11791,11791,,1314,2633,0.11,0.11,,246
Denmark,DNK,2020-12-28,8417,8417,,1992,1992,0.15,0.15,,344
Dominica,DMA,2021-03-01,7202,7202,,,400,10,10,,5556
Ecuador,ECU,2021-02-04,6228,6228,,,406,0.04,0.04,,23
England,OWID_ENG,2020-12-13,55576,55576,,,,0.1,0.1,,
Estonia,EST,2021-02-03,43000,30158,12842,2783,1915,3.24,2.27,0.97,1444
Europe,OWID_EUR,2021-01-01,1519042,1510137,,40880,80074,0.2,0.2,,107
Finland,FIN,2021-01-25,110651,106098,4553,,8012,2,1.91,0.08,1446
France,FRA,2021-01-08,76022,76022,,32740,10814,0.11,0.11,,159
Germany,DEU,2021-01-19,1365170,1306876,58294,95395,80532,1.63,1.56,0.07,961
Gibraltar,GIB,2021-01-28,12332,12332,,725,626,36.6,36.6,,18581
Greece,GRC,2021-02-20,693436,465842,227594,29089,23867,6.65,4.47,2.18,2290
Greenland,GRL,2021-03-01,5130,3927,1203,,77,9.04,6.92,2.12,1356
Honduras,HND,2021-02-28,2684,2684,,,,0.03,0.03,,
