RestaurantID,RestaurantName,City,Cuisines,Rating_text,Votes
18528478,La Gustosa,Pune,Italian,Excellent,1756
18552811,Punjab Canteen,Pune,North Indian,Very Good,876
12552,Chandra Cafe,Pune,"Chinese, North Indian, Rolls",Good,1148
11971,Aroma's Hyderabad House,Pune,"Biryani, North Indian, Mughlai",Very Good,692
18335308,Burger King,Pune,"Burger, Fast Food, Beverages",Good,645
6506345,P. K. Biryani House,Pune,"Biryani, Seafood, North Indian, Kebab",Good,927
18532162,Paddy's Cafe,Pune,Cafe,Very Good,1018
18397717,24foods.in,Pune,"Fast Food, Burger",Very Good,940
18465886,Adda,Pune,"Bar Food, Seafood, North Indian",Very Good,901
18516536,Indian N Spice,Pune,"Continental, North Indian, Chinese, Fast Food",Good,63
13619,Multi Spice,Pune,"Fast Food, North Indian, Chinese",Good,85
18660383,Grand 11,Pune,"Seafood, North Indian, Maharashtrian, Chinese",Good,45
13621,Jay Shree Executive,Pune,"North Indian, Chinese, Italian, Continental, Thai",Average,32
13665,Milestone 09,Pune,"North Indian, Chinese, Fast Food",Average,18
18942972,Ankulwar Idli center,Nanded,"Maharashtrian, South Indian",Good,5
13501,Aquarius Resort,Pune,"North Indian, Chinese, Seafood",Good,169
6508289,Wildernest,Pune,"North Indian, Chinese",Average,31
18639141,Hotel Karyat Maval,Pune,"Maharashtrian, North Indian, South Indian, Chinese",Good,20
6503810,Savali,Pune,"North Indian, Chinese",Average,24
18473487,Hotel Kondhana,Pune,"North Indian, Chinese",Average,4
18236979,Just Franky,Pune,"Fast Food, Chinese",Average,12
18775681,The Dugout Lounge,Pune,"Chinese, Maharashtrian",Average,10
6503801,Parnkuti,Pune,"North Indian, Chinese",Not rated,2
18701857,Hotel Mejvani,Pune,North Indian,Not rated,2
18948287,Babbi Da Dhaba,Pune,North Indian,Not rated,3
19035059,Ribbons and Balloons,Pune,"Bakery, Desserts",Not rated,0
18875828,Jumboking Foods,Pune,Fast Food,Not rated,0
18786033,Shiva Sagar,Pune,"South Indian, North Indian, Chinese",Not rated,0
19149094,TTMM - Tongue Tummy and Much More,Pune,"Pizza, Fast Food, Beverages",Not rated,0
18292683,Global Punjab,Pune,"North Indian, Mughlai, Chinese, Seafood",Very Good,1139
18702398,Fly High,Pune,"North Indian, Continental, Seafood, Lebanese, Chinese, Fast Food",Good,367
18349073,V Cafe And Restaurant,Pune,"North Indian, Chinese, Thai, Sandwich",Average,333
6507689,Domino's Pizza,Pune,"Pizza, Fast Food",Good,161
6507803,Radha Krushna,Pune,"North Indian, South Indian, Chinese",Average,142
18591669,K2H Meals,Pune,"Maharashtrian, Street Food",Good,144
18865942,Pune Egg Cafe,Pune,Cafe,Good,75
18310154,Cafe Chokolade,Pune,"Cafe, Desserts",Good,71
18699132,Anamorphic Multi Cuisine Restaurant,Pune,"Italian, Mexican, Chinese, North Indian, Thai",Good,56
12073,Satguru's Punjabi Rasoi,Pune,"North Indian, Mughlai, Fast Food",Very Good,3665
10916,Global Punjab,Pune,"North Indian, Mughlai, Chinese, Seafood",Good,1697
18372082,Behrouz Biryani,Pune,"Biryani, North Indian, Mughlai",Very Good,461
6507515,BOX8- Desi Meals,Pune,"Sandwich, Salad, North Indian, Fast Food, Wraps, Biryani",Very Good,412
13953,Marrakesh,Pune,"Lebanese, Mediterranean, Mughlai, North Indian",Good,597
6505010,Tasty Punjab,Pune,"North Indian, Chinese",Good,468
6503888,Kokkita,Pune,"Asian, North Indian, Continental",Good,539
11327,Rolls Mania,Pune,"Rolls, Fast Food",Good,532
11677,Faasos,Pune,"Wraps, North Indian, Biryani, Fast Food",Very Good,420
18585356,BOX8- Desi Meals,Pune,"Sandwich, Salad, North Indian, Fast Food, Wraps, Biryani",Very Good,525
18606228,Mojo Pizza - 2X Toppings,Pune,"Pizza, Fast Food",Very Good,324
18946394,Thorat's Baarbeque Misal,Pune,Street Food,Good,147
18728556,Shreeji Pure Veg,Pune,"North Indian, Chinese, South Indian, Fast Food",Good,149
18926265,Hotel Sinhgad Shahi,Pune,"Maharashtrian, North Indian, Biryani",Good,119
18691651,RK'S Family Restro and Bar,Pune,"North Indian, Chinese, Seafood, Mughlai",Good,126
19084969,So What Cafe,Pune,Cafe,Very Good,39
12803,Chhavni,Pune,"North Indian, Chinese, Continental",Good,118
12482,Relax Pure Veg,Pune,"North Indian, Chinese, Fast Food",Very Good,655
10507,Domino's Pizza,Pune,"Pizza, Fast Food",Good,600
12351,Nimantran Restaurant and Bar,Pune,"North Indian, Asian, Seafood, Fast Food",Good,541
10856,Kolhapuri Katta,Pune,"Maharashtrian, Kebab, Biryani, Seafood, Malwani",Very Good,488
18523711,The Basil Deck,Pune,"North Indian, Continental, Italian, Beverages",Very Good,443
10164,Baasuri,Pune,"South Indian, North Indian, Chinese, Fast Food",Good,511
6505173,Cafe Bistro,Pune,Cafe,Good,342
10170,Panchami Pure Veg,Pune,"North Indian, South Indian, Chinese",Good,464
10216,Burger,Pune,"Burger, Fast Food",Excellent,2445
10644,11 East Street Cafe,Pune,"Continental, North Indian, Seafood, Cafe, Salad, Chinese",Very Good,3828
18740139,Grandmama's Cafe,Pune,"Continental, Beverages, Desserts, Fast Food",Very Good,1477
18761203,BOMB’AR,Mumbai,"Continental, North Indian, Italian",Very Good,1575
43968,Jamjar Diner,Mumbai,"American, Italian, Mexican, Salad, Healthy Food",Very Good,4761
34897,Banana Leaf,Mumbai,"South Indian, North Indian",Very Good,2070
37243,Boulevard - The Orchid,Mumbai,"North Indian, Seafood, American",Excellent,1675
18796372,La Pino'z Pizza,Mumbai,"Pizza, Italian",Very Good,533
18382976,Garde Manger Cafe,Mumbai,"Cafe, Healthy Food, Italian, Juices",Very Good,1831
49486,Tea Villa Cafe,Mumbai,"Cafe, Fast Food, Desserts, Beverages",Very Good,3586
18791155,Theko - Bar and Kitchen,Mumbai,"North Indian, Chinese",Very Good,585
39986,The Good Food Co.,Mumbai,Fast Food,Very Good,1146
35186,Gajalee,Mumbai,"Malwani, Seafood, Maharashtrian, North Indian",Very Good,1686
18379391,Eat Play Love,Mumbai,"Italian, Fast Food",Very Good,2095
38305,Achija,Mumbai,"North Indian, Chinese, South Indian, Fast Food, Street Food",Very Good,1298
39443,Pure Milk Centre,Mumbai,"South Indian, Fast Food, Street Food",Very Good,2155
18635199,Tea Villa Cafe,Mumbai,"Cafe, Fast Food, Desserts, Beverages",Very Good,1019
18561286,Mumbai 77,Mumbai,"Continental, Mexican, Beverages, Cafe, Desserts, Italian, Chinese, Ice Cream",Good,974
18555551,Juno's Pizza,Mumbai,"Pizza, Italian, Fast Food",Very Good,1706
18620849,Hrezzo,Mumbai,"North Indian, Chinese, Continental",Very Good,910
18477050,Hungry Head,Mumbai,"Fast Food, Beverages, Desserts",Very Good,941
18378193,The Chocolate Room,Mumbai,"Cafe, Desserts",Very Good,893
18133554,Palladium Social,Mumbai,"American, North Indian, Chinese, Fast Food, Continental, Asian, Beverages",Excellent,6573
18385449,The London Curry House - The Royale Senate Hotel,Bangalore,"Pizza, North Indian, Modern Indian",Excellent,4814
18237912,Barbeque Nation,Bangalore,"North Indian, European, Mediterranean, BBQ, Kebab",Excellent,1725
18254571,The Green Path - Forgotten Food,Bangalore,"North Indian, Mughlai",Very Good,1215
18339884,South Ruchis Square,Bangalore,"North Indian, South Indian, Chinese, Beverages",Very Good,1193
59009,Empire Restaurant,Bangalore,"North Indian, Mughlai, South Indian, Chinese",Very Good,1692
18664995,"Lush - Renaissance Hotel, Bengaluru",Bangalore,"North Indian, Continental",Very Good,658
56353,Kava - Fairfield by Marriott,Bangalore,"North Indian, South Indian, Continental",Very Good,709
55963,Richie Rich,Bangalore,"Desserts, Beverages, Fast Food, Ice Cream",Very Good,683
50311,Corner House Ice Cream,Bangalore,"Ice Cream, Desserts",Excellent,458
52218,My Place - Gokulam Grand Hotel and Spa,Bangalore,"Continental, Asian, South Indian, North Indian",Very Good,436
18766505,Tawa Tandoor,Bangalore,"North Indian, Chinese",Good,183
52981,Mezzaluna - Gokulam Grand Hotel and Spa,Bangalore,Italian,Very Good,166
57530,Kolkata Famous Kati Rolls,Bangalore,"Fast Food, Rolls",Good,88
18460030,Hyderabadi Bawarchi Multi Cuisine Restaurant,Bangalore,"Biryani, North Indian, Chinese",Average,101
18203022,Donne Biryani Mane,Bangalore,"Biryani, South Indian",Good,81
52206,Obsidian Sports and Music Bar -Gokulam Grand Hotel and Spa,Bangalore,Continental,Good,39
18270185,Tandoori Delight,Bangalore,"North Indian, Chinese",Average,46
55922,Banashankari Restaurant,Bangalore,"North Indian, Chinese, Biryani",Good,32
50844,Rahhams,Bangalore,"Biryani, North Indian, Mughlai, Chinese, Kebab",Good,934
18011679,Karama Restaurant,Bangalore,"Arabian, North Indian, Beverages",Very Good,3185
54159,Savoury Restaurant,Bangalore,"Arabian, BBQ, North Indian, Chinese, Desserts, Beverages",Very Good,1546
50476,Empire Restaurant,Bangalore,"North Indian, Mughlai, South Indian, Chinese",Very Good,1964
18508421,Skoolroom,Bangalore,"Cafe, Continental, Italian, Burger, Beverages",Very Good,663
57329,Smally's Resto Cafe,Bangalore,"Cafe, Italian, Burger, American, Steak",Very Good,1917
50642,Mangalore Pearl - Seafood Restaurant,Bangalore,"Mangalorean, Seafood",Very Good,1406
58819,Watson's,Bangalore,"Finger Food, North Indian, South Indian",Very Good,1465
53620,Manjit Da Dhaba,Bangalore,North Indian,Very Good,814
18308756,Hammered,Bangalore,"North Indian, Continental",Excellent,5736
53497,Pasta Street,Bangalore,"Italian, Pizza, Salad",Excellent,1873
50510,Infinitea Tea Room and Tea Store,Bangalore,"Continental, Cafe, Desserts, Salad, Momos",Very Good,890
50477,Empire Restaurant,Bangalore,"North Indian, Mughlai, South Indian, Chinese",Very Good,795
